protocol_version,session_id,run_id,timestamp_utc,device_model,operating_system,unity_version,model_id,model_version,model_variant,model_asset,backend,quantization,output_kind,tensor_layout,parameters_millions,gflops_at_640,input_width,input_height,output_count,output_shape,iteration,preprocessing_ms,scheduling_ms,execution_readback_ms,total_ms,completion_frame_ms,allocated_memory_bytes,reserved_memory_bytes,mono_used_memory_bytes,battery_level,battery_status,gc_gen0_count,gc_gen1_count,gc_gen2_count
quest3-yolo-nano-v1,20260620_091029_aa3e6834,20260620_091029_aa3e6834_yolov9t_CPU,2026-06-20T09:10:50.4705710Z,Oculus Quest 3,Android OS 14 / API-34 (UP1A.231005.007.A1/52083180027000520),6000.4.11f1,yolov9t,YOLOv9,t,yolov9t_640_raw,CPU,Unspecified,Raw,ChannelsFirst,2,7.7,640,640,1,"(1, 84, 8400)",41,0.7242,5.7565,229.3597,235.8407,13.846251,133639750,255279104,61026304,0.88,Discharging,23,23,23
quest3-yolo-nano-v1,20260620_091029_aa3e6834,20260620_091029_aa3e6834_yolov9t_CPU,2026-06-20T09:10:50.7208520Z,Oculus Quest 3,Android OS 14 / API-34 (UP1A.231005.007.A1/52083180027000520),6000.4.11f1,yolov9t,YOLOv9,t,yolov9t_640_raw,CPU,Unspecified,Raw,ChannelsFirst,2,7.7,640,640,1,"(1, 84, 8400)",42,0.821,5.7071,229.7824,236.3108,13.846776,133648983,255279104,61026304,0.88,Discharging,23,23,23
quest3-yolo-nano-v1,20260620_091029_aa3e6834,20260620_091029_aa3e6834_yolov9t_CPU,2026-06-20T09:10:50.9707540Z,Oculus Quest 3,Android OS 14 / API-34 (UP1A.231005.007.A1/52083180027000520),6000.4.11f1,yolov9t,YOLOv9,t,yolov9t_640_raw,CPU,Unspecified,Raw,ChannelsFirst,2,7.7,640,640,1,"(1, 84, 8400)",43,0.948,5.6454,229.4424,236.0361,13.850885,133658102,255279104,61030400,0.88,Discharging,23,23,23
quest3-yolo-nano-v1,20260620_091029_aa3e6834,20260620_091029_aa3e6834_yolov9t_CPU,2026-06-20T09:10:51.2483940Z,Oculus Quest 3,Android OS 14 / API-34 (UP1A.231005.007.A1/52083180027000520),6000.4.11f1,yolov9t,YOLOv9,t,yolov9t_640_raw,CPU,Unspecified,Raw,ChannelsFirst,2,7.7,640,640,1,"(1, 84, 8400)",44,0.7717,5.7197,257.3769,263.8686,13.714484,133667126,255279104,61038592,0.88,Discharging,23,23,23
quest3-yolo-nano-v1,20260620_091029_aa3e6834,20260620_091029_aa3e6834_yolov9t_CPU,2026-06-20T09:10:51.5122920Z,Oculus Quest 3,Android OS 14 / API-34 (UP1A.231005.007.A1/52083180027000520),6000.4.11f1,yolov9t,YOLOv9,t,yolov9t_640_raw,CPU,Unspecified,Raw,ChannelsFirst,2,7.7,640,640,1,"(1, 84, 8400)",45,0.8747,6.106,243.0294,250.0104,13.822605,133675862,255279104,61038592,0.88,Discharging,23,23,23
quest3-yolo-nano-v1,20260620_091029_aa3e6834,20260620_091029_aa3e6834_yolov9t_CPU,2026-06-20T09:10:51.7762820Z,Oculus Quest 3,Android OS 14 / API-34 (UP1A.231005.007.A1/52083180027000520),6000.4.11f1,yolov9t,YOLOv9,t,yolov9t_640_raw,CPU,Unspecified,Raw,ChannelsFirst,2,7.7,640,640,1,"(1, 84, 8400)",46,0.6314,5.6191,243.7909,250.0415,13.834113,133684822,255279104,61038592,0.88,Discharging,23,23,23
quest3-yolo-nano-v1,20260620_091029_aa3e6834,20260620_091029_aa3e6834_yolov9t_CPU,2026-06-20T09:10:52.0261650Z,Oculus Quest 3,Android OS 14 / API-34 (UP1A.231005.007.A1/52083180027000520),6000.4.11f1,yolov9t,YOLOv9,t,yolov9t_640_raw,CPU,Unspecified,Raw,ChannelsFirst,2,7.7,640,640,1,"(1, 84, 8400)",47,0.7996,5.7001,229.627,236.127,13.683702,133693607,255279104,61038592,0.88,Discharging,23,23,23
quest3-yolo-nano-v1,20260620_091029_aa3e6834,20260620_091029_aa3e6834_yolov9t_CPU,2026-06-20T09:10:52.2625320Z,Oculus Quest 3,Android OS 14 / API-34 (UP1A.231005.007.A1/52083180027000520),6000.4.11f1,yolov9t,YOLOv9,t,yolov9t_640_raw,CPU,Unspecified,Raw,ChannelsFirst,2,7.7,640,640,1,"(1, 84, 8400)",48,0.6369,5.5387,216.2692,222.4451,14.015937,133702487,255279104,61038592,0.88,Discharging,23,23,23
quest3-yolo-nano-v1,20260620_091029_aa3e6834,20260620_091029_aa3e6834_yolov9t_CPU,2026-06-20T09:10:52.5124140Z,Oculus Quest 3,Android OS 14 / API-34 (UP1A.231005.007.A1/52083180027000520),6000.4.11f1,yolov9t,YOLOv9,t,yolov9t_640_raw,CPU,Unspecified,Raw,ChannelsFirst,2,7.7,640,640,1,"(1, 84, 8400)",49,1.0359,6.1292,228.8732,236.0386,13.878231,133711542,255279104,61042688,0.88,Discharging,23,23,23
quest3-yolo-nano-v1,20260620_091029_aa3e6834,20260620_091029_aa3e6834_yolov9t_CPU,2026-06-20T09:10:52.7483860Z,Oculus Quest 3,Android OS 14 / API-34 (UP1A.231005.007.A1/52083180027000520),6000.4.11f1,yolov9t,YOLOv9,t,yolov9t_640_raw,CPU,Unspecified,Raw,ChannelsFirst,2,7.7,640,640,1,"(1, 84, 8400)",50,0.5872,5.4327,216.1673,222.1874,13.819168,133720566,255279104,61042688,0.88,Discharging,23,23,23
